equipment,manufacturer,area_m2,capacity_kw
Cooling tower (wet),SPX Cooling Technologies,62.13,7957.3
Cooling tower (wet),Delta Cooling Towers,98.13,11417.5
Cooling tower (wet),SPX Cooling Technologies,62.13,8647.4
Cooling tower (wet),Evapco,66.93,8664.6
Cooling tower (wet),SPX Cooling Technologies,62.13,9144.3
Cooling tower (wet),SPX Cooling Technologies,62.13,9623.4
Cooling tower (wet),Evapco,66.93,11526.5
Cooling tower (wet),Evapco,100.53,12906.9
Cooling tower (wet),Evapco,136.38,16713.9
Cooling tower (wet),Evapco,100.53,17179.8
Cooling tower (wet),Evapco,136.38,22310.0
Cooling tower (wet),Aggreko,9.9064,3333.33
Cooling tower (wet),Delta Cooling Towers,13.03,1370.0
Cooling tower (wet),Evapco,66.9,10677.884
Cooling tower (wet),SPX Cooling Technologies,121.0,16676.0
Chiller (air-cooled),General Air Products,1.4136000000000002,48.18
Chiller (air-cooled),General Air Products,1.9661999999999995,55.56
Chiller (air-cooled),General Air Products,4.1125,104.1
Chiller (air-cooled),General Air Products,4.1125,138.92
Chiller (air-cooled),General Air Products,4.425,169.16
Chiller (air-cooled),Mgreenbelt,4.369999999999999,126.6
Chiller (air-cooled),Mgreenbelt,5.7749999999999995,151.5
Chiller (air-cooled),Mgreenbelt,5.207999999999999,189.9
Chiller (air-cooled),Mgreenbelt,7.7787,202.0
Chiller (air-cooled),Mgreenbelt,8.652000000000001,253.2
Chiller (air-cooled),Mgreenbelt,12.1,315.0
Chiller (air-cooled),Mgreenbelt,12.6945,420.0
Chiller (water-cooled),Yizhong,0.71,12.5
Chiller (water-cooled),Yizhong,1.2325,20.0
Chiller (water-cooled),Yizhong,1.2325,25.0
Chiller (water-cooled),Yizhong,1.275,30.0
Chiller (water-cooled),Yizhong,1.36,37.5
Chiller (water-cooled),Yizhong,1.36,40.0
Chiller (water-cooled),Yizhong,1.36,50.0
Chiller (water-cooled),Yizhong,1.36,62.5
Chiller (water-cooled),Yizhong,2.1,75.0
Chiller (water-cooled),Yizhong,2.6,100.0
Chiller (water-cooled),Yizhong,2.6,125.0
