organization,system,chip,accelerator,vendor,generation,generation_order,workload,scenario,accelerators,result,per_accelerator,availability
Dell_MangoBoost,PowerEdge XE9785 (MI355X Power Cap 1000W),AMD Instinct MI355X 288GB HBM3e,AMD Instinct MI355X 288GB HBM3e (Power Cap 1000 W),AMD,MI355X,4,llama2-70b-99.9,Server,8,76359.5,9544.94,available
MangoBoost,MangoBoost Mi325X (8x MI325X LLMBoost),AMD Instinct MI325X 256GB HBM3e,AMD Instinct MI325X 256GB HBM3e,AMD,MI325X,2,llama2-70b-99.9,Server,8,31888.9,3986.11,available
Dell,PowerEdge XE7740 (8x H200-NVL-141GB TensorRT),NVIDIA H200-NVL-141GB,NVIDIA H200-NVL-141GB,NVIDIA,H200,1,llama2-70b-99.9,Server,8,29084.9,3635.61,available
HPE,HPE ProLiant Compute DL380a Gen12 (8x NVIDIA RTX PRO 6000 Blackwell Server Edition TensorRT),NVIDIA RTX PRO 6000 Blackwell Server Edition,NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,llama2-70b-99.9,Server,8,28717.1,3589.63,available
HPE,HPE ProLiant Compute DL380a Gen12 (10x NVIDIA RTX PRO 6000 Blackwell Server Edition TensorRT),NVIDIA RTX PRO 6000 Blackwell Server Edition,NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,llama2-70b-99.9,Server,10,35522.3,3552.23,available
HPE,HPE ProLiant DL385 Gen11 (2x NVIDIA RTX PRO 6000 Blackwell Server Edition-600W TensorRT),NVIDIA RTX PRO 6000 Blackwell Server Edition,NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,llama2-70b-99.9,Server,2,6953.48,3476.74,available
Lenovo,ThinkSystem SR675i V3 (8x NVIDIA RTX PRO 6000 Blackwell Server Edition TensorRT),NVIDIA RTX PRO 6000 Blackwell Server Edition,NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,llama2-70b-99.9,Server,8,27160.2,3395.03,available
Dell,PowerEdge XE7745 (8x RTXPro6000-PCIe-96GB TensorRT),NVIDIA RTX PRO 6000 Blackwell Server Edition,NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,llama2-70b-99.9,Server,8,25536.1,3192.01,available
Dell,PowerEdge XE7740 (8x RTXPro6000-PCIe-96GB TensorRT),NVIDIA RTX PRO 6000 Blackwell Server Edition,NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,llama2-70b-99.9,Server,8,25524.1,3190.51,available
MangoBoost,MangoBoost Mi300X (8x MI300X LLMBoost),AMD Instinct MI300X 192GB HBM3,AMD Instinct MI300X 192GB HBM3,AMD,MI300X,1,llama2-70b-99.9,Server,8,25463.2,3182.89,available
HPE,HPE ProLiant DL385 Gen11 (4x NVIDIA RTX PRO 6000 Blackwell Server Edition-450W TensorRT),NVIDIA RTX PRO 6000 Blackwell Server Edition,NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,llama2-70b-99.9,Server,4,12572.6,3143.15,available
Dell,PowerEdge XE9680 (8x MI300X),AMD Instinct MI300X 192GB HBM3,AMD Instinct MI300X 192GB HBM3,AMD,MI300X,1,llama2-70b-99.9,Server,8,24467.7,3058.46,available
Intel,1-node-4x-BMG-Pro-B60-Dual,MS-Intel Arc Pro B60 Dual 48G Turbo,MS-Intel Arc Pro B60 Dual 48G Turbo,,,-1,llama2-70b-99.9,Server,4,2199.5,549.875,available
Intel,1-node-4x-BMG-B70,Intel Arc Pro B70,Intel(R) Arc Pro(R) B70,,,-1,llama2-70b-99.9,Server,4,1698.57,424.642,preview
Intel,1-node-4x-BMG-B60,Intel Arc Pro B60,Intel(R) Arc Pro(R) B60,,,-1,llama2-70b-99.9,Server,4,1106.26,276.565,available
NVIDIA,NVIDIA GB300 NVL72 (72x GB300-288GB_aarch64 TensorRT),NVIDIA GB300,NVIDIA GB300,NVIDIA,GB300,5,llama3.1-405b,Interactive,72,18365.4,255.075,available
NVIDIA,NVIDIA GB200 NVL72 (72x GB200-186GB_aarch64 TensorRT),NVIDIA GB200,NVIDIA GB200,NVIDIA,GB200,3,llama3.1-405b,Interactive,72,14010.1,194.585,available
GigaComputing,G894-SD3-AAX7,NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,llama3.1-405b,Interactive,8,764.655,95.5819,available
NVIDIA,NVIDIA GB300 NVL72 (72x GB300-288GB_aarch64 TensorRT),NVIDIA GB300,NVIDIA GB300,NVIDIA,GB300,5,llama3.1-405b,Offline,72,19511.7,270.996,available
Cisco,Cisco UCS C880A M8 (8x NVIDIA B300-SXM-270GB TensorRT),NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,llama3.1-405b,Offline,8,1971.11,246.389,available
Quanta_Cloud_Technology,QuantaGrid D75H-10U (8x B300-SXM-270GB TensorRT),NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,llama3.1-405b,Offline,8,1953.77,244.221,available
NVIDIA,NVIDIA DGX B300 (8x B300-SXM-270GB TensorRT),NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,llama3.1-405b,Offline,8,1951.6,243.95,available
GigaComputing,G894-SD3-AAX7,NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,llama3.1-405b,Offline,8,1947.91,243.489,available
NVIDIA,NVIDIA GB200 NVL72 (72x GB200-186GB_aarch64 TensorRT),NVIDIA GB200,NVIDIA GB200,NVIDIA,GB200,3,llama3.1-405b,Offline,72,15461.5,214.743,available
Google,NVIDIA DGX B200 (8x B200-SXM-180GB TensorRT),NVIDIA B200-SXM-180GB,NVIDIA B200-SXM-180GB,NVIDIA,B200,2,llama3.1-405b,Offline,8,1350.24,168.78,available
NVIDIA,NVIDIA GB300 NVL72 (72x GB300-288GB_aarch64 TensorRT),NVIDIA GB300,NVIDIA GB300,NVIDIA,GB300,5,llama3.1-405b,Server,72,18627.6,258.717,available
NVIDIA,NVIDIA GB200 NVL72 (72x GB200-186GB_aarch64 TensorRT),NVIDIA GB200,NVIDIA GB200,NVIDIA,GB200,3,llama3.1-405b,Server,72,14133.9,196.304,available
Quanta_Cloud_Technology,QuantaGrid D75H-10U (8x B300-SXM-270GB TensorRT),NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,llama3.1-405b,Server,8,1484.4,185.55,available
NVIDIA,NVIDIA DGX B300 (8x B300-SXM-270GB TensorRT),NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,llama3.1-405b,Server,8,1460.25,182.531,available
Cisco,Cisco UCS C880A M8 (8x NVIDIA B300-SXM-270GB TensorRT),NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,llama3.1-405b,Server,8,1445.7,180.713,available
GigaComputing,G894-SD3-AAX7,NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,llama3.1-405b,Server,8,1340.51,167.564,available
Google,NVIDIA DGX B200 (8x B200-SXM-180GB TensorRT),NVIDIA B200-SXM-180GB,NVIDIA B200-SXM-180GB,NVIDIA,B200,2,llama3.1-405b,Server,8,983.626,122.953,available
